# lo0 lores lofreq freq dec resbin ridx weight widx noise166 flux10 snr10 hours snravg noise50 psf_area psf_sym psf_mean noise50k speed speed_avg
SKA1V8 0 0 800 -10 0.4-2.0arcsec 1 natural 0 1.3 11.69 9.19 8.92 9.47 2.3 2.1 0.07 0.8160 73 90 96
SKA1W8-12C0B120 0 0 1000 -30 10.0-60.0arcsec 6 natural 0 1.2 10.00 8.04 8.47 9.72 2.3 1.5e+03 0.01 22.1833 72 44 1.1e+02
SKA1W8-12C0B120 0 0 1400 -50 3.0-4.0arcsec 4 natural 0 2.4 7.90 3.29 63.73 3.54 4.4 34 0.04 3.3114 1.4e+02 3.8 14
SKA1W8-V2 0 0 800 -10 10.0-60.0arcmin 8 natural 0 6.1 11.69 1.93 231.19 1.86 11 2e+06 0.01 798.3992 3.5e+02 4 6.2
SKASUR 0 0 650 -30 0.4-2.0arcsec 1 natural 0 5.6 13.52 2.42 108.82 2.71 10 6.8 0.29 1.4971 3.2e+02 1.1e+02 1.4e+02
SKASUR1 0 0 1000 -50 1.0-2.0arcsec 2 natural 0 4.7 10.00 2.13 290.66 1.66 8.6 6.3 0.31 1.4411 2.7e+02 82 54
SKA1V8-C9B120 0 0 1000 -10 2.0-3.0arcsec 3 natural 0 2.4 10.00 4.10 31.10 5.07 4.4 17 0.04 2.3486 1.4e+02 12 32
SKA1W8-V2 0 0 650 -30 0.4-2.0arcsec 1 natural 0 1.2 13.52 11.73 6.48 11.11 2.1 3.4 0.11 1.0399 66 2.2e+02 1.3e+02
SKA1V8 0 0 1400 -50 10.0-60.0arcsec 6 natural 0 0.72 7.90 10.91 7.34 10.44 1.3 1.5e+03 0.01 21.5700 42 42 1.3e+02
SKA1W8-V2 0 0 800 -10 10.0-60.0arcsec 6 natural 0 1.3 11.69 9.21 8.78 9.55 2.3 1.3e+03 0.08 20.7381 73 91 1e+02
SKA1W8-C9B120 0 0 1400 -10 10.0-60.0arcmin 8 natural 0 7.2 7.90 1.10 237.81 1.83 13 1.7e+06 0.02 726.4514 4.2e+02 0.42 6.1
SKA1W8-12C0B120 0 0 1400 -30 1.0-2.0arcsec 2 natural 0 1.2 7.90 6.48 14.08 7.54 2.2 5 0.06 1.2652 70 15 88
SKA1V8 0 0 1400 -50 1.0-2.0arcsec 2 natural 0 1.2 7.90 6.60 21.16 6.15 2.2 5.5 0.08 1.3216 69 15 44
SKA1W8-V2 0 0 800 -30 1.0-2.0arcsec 2 natural 0 1.7 11.69 7.07 15.68 7.14 3 5.2 0.02 1.2858 95 54 75
SKASUR 0 0 800 -10 2.0-3.0arcsec 3 natural 0 7.6 11.69 1.54 274.57 1.71 14 18 0.19 2.3863 4.4e+02 43 53
SKA1W8-C9B120 0 0 650 -30 2.0-3.0arcsec 3 natural 0 2.8 13.52 4.81 44.60 4.24 5.1 17 0.07 2.3482 1.6e+02 38 21
SKA1V8-C9B120 0 0 1400 -30 10.0-60.0arcsec 6 natural 0 0.75 7.90 10.54 7.29 10.48 1.4 1.3e+03 0.00 20.4055 43 39 1.4e+02
SKA1V8 0 0 1400 -10 0.4-1.0arcsec 0 natural 0 1 7.90 7.91 16.93 6.87 1.8 1 0.05 0.5773 58 22 47
SKA1W8-12C0B120 0 0 800 -50 0.4-2.0arcsec 1 natural 0 1 11.69 11.67 5.48 12.08 1.8 2.4 0.09 0.8777 58 1.5e+02 1.6e+02
SKA1W8-12C0B120 0 0 1000 -10 0.4-1.0arcsec 0 natural 0 1.2 10.00 8.55 8.92 9.47 2.1 1.3 0.04 0.6386 67 50 83
