# lo0 lores lofreq freq dec resbin ridx weight widx noise166 flux10 snr10 hours snravg noise50 psf_area psf_sym psf_mean noise50k speed speed_avg
SKA1W8-V2 0 0 1000 -30 10.0-60.0arcsec 0 natural 0 1.2 10.00 8.09 8.54 9.68 2.3 1.6e+03 0.02 22.4535 71 45 1e+02
SKA1W8-V2 0 0 800 -10 10.0-100.0arcsec 1 natural 0 1.1 11.69 11.13 6.14 11.41 1.9 2.4e+03 0.08 27.4551 61 1.3e+02 1.5e+02
SKA1W8-V2 0 0 650 -30 10.0-100.0arcsec 1 natural 0 1.1 13.52 12.78 6.05 11.50 1.9 2.4e+03 0.04 27.5449 61 2.7e+02 1.5e+02
SKA1W8-V2 0 0 650 -10 10.0-100.0arcsec 1 natural 0 1.1 13.52 12.76 6.14 11.41 1.9 2.4e+03 0.10 27.5981 61 2.6e+02 1.5e+02
SKA1W8-V2 0 0 800 -30 10.0-60.0arcsec 0 natural 0 1.2 11.69 9.38 8.54 9.68 2.3 1.3e+03 0.03 20.6960 72 94 1e+02
SKA1W8-V2 0 0 650 -10 10.0-60.0arcsec 0 natural 0 1.3 13.52 10.37 8.78 9.55 2.4 1.4e+03 0.10 21.0588 75 1.7e+02 1e+02
SKA1W8-V2 0 0 800 -10 10.0-60.0arcsec 0 natural 0 1.3 11.69 9.21 8.78 9.55 2.3 1.3e+03 0.08 20.7381 73 91 1e+02
SKA1W8-V2 0 0 1000 -50 10.0-100.0arcsec 1 natural 0 1.1 10.00 9.38 6.27 11.30 1.9 2.8e+03 0.02 29.6895 61 60 1.5e+02
SKA1W8-V2 0 0 650 -50 10.0-60.0arcsec 0 natural 0 1.3 13.52 10.40 8.80 9.53 2.4 1.4e+03 0.04 20.8627 75 1.8e+02 1e+02
SKA1W8-V2 0 0 800 -30 10.0-100.0arcsec 1 natural 0 1 11.69 11.28 6.05 11.50 1.9 2.4e+03 0.02 27.5237 60 1.4e+02 1.5e+02
SKA1W8-V2 0 0 1400 -10 10.0-100.0arcsec 1 natural 0 0.66 7.90 11.98 6.14 11.41 1.2 2.6e+03 0.06 28.8201 38 50 1.5e+02
SKA1W8-V2 0 0 1000 -30 10.0-100.0arcsec 1 natural 0 1 10.00 9.63 6.05 11.50 1.9 2.8e+03 0.02 29.5999 60 64 1.5e+02
SKA1W8-V2 0 0 1400 -30 10.0-100.0arcsec 1 natural 0 0.66 7.90 12.04 6.05 11.50 1.2 2.6e+03 0.01 28.8139 38 51 1.5e+02
SKA1W8-V2 0 0 1000 -10 10.0-100.0arcsec 1 natural 0 1 10.00 9.54 6.14 11.41 1.9 2.7e+03 0.06 29.3548 60 62 1.5e+02
SKA1W8-V2 0 0 1000 -10 10.0-60.0arcsec 0 natural 0 1.3 10.00 8.00 8.78 9.55 2.3 1.5e+03 0.03 22.1672 72 44 1e+02
SKA1W8-V2 0 0 1000 -50 10.0-60.0arcsec 0 natural 0 1.3 10.00 7.94 8.80 9.53 2.3 1.6e+03 0.02 22.4975 73 43 1e+02
SKA1W8-V2 0 0 650 -30 10.0-60.0arcsec 0 natural 0 1.3 13.52 10.45 8.54 9.68 2.4 1.4e+03 0.05 20.9396 75 1.8e+02 1e+02
SKA1W8-V2 0 0 1400 -10 10.0-60.0arcsec 0 natural 0 0.76 7.90 10.40 8.78 9.55 1.4 1.7e+03 0.05 23.1959 44 38 1e+02
SKA1W8-V2 0 0 800 -50 10.0-60.0arcsec 0 natural 0 1.3 11.69 9.24 8.80 9.53 2.3 1.4e+03 0.04 20.7824 73 91 1e+02
SKA1W8-V2 0 0 1400 -50 10.0-100.0arcsec 1 natural 0 0.67 7.90 11.83 6.27 11.30 1.2 2.6e+03 0.00 28.7639 38 49 1.5e+02
SKA1W8-V2 0 0 1400 -30 10.0-60.0arcsec 0 natural 0 0.75 7.90 10.57 8.54 9.68 1.4 1.7e+03 0.00 23.3507 43 39 1e+02
SKA1W8-V2 0 0 800 -50 10.0-100.0arcsec 1 natural 0 1.1 11.69 11.03 6.27 11.30 1.9 2.4e+03 0.03 27.6278 61 1.3e+02 1.5e+02
SKA1W8-V2 0 0 650 -50 10.0-100.0arcsec 1 natural 0 1.1 13.52 12.68 6.27 11.30 1.9 2.4e+03 0.05 27.5279 61 2.6e+02 1.5e+02
SKA1W8-V2 0 0 1400 -50 10.0-60.0arcsec 0 natural 0 0.76 7.90 10.35 8.80 9.53 1.4 1.7e+03 0.01 23.2689 44 37 1e+02
