lo0,lores,lofreq,freq,dec,resbin,ridx,weight,widx,flux10,snr10,hours,snravg,relnoise,noise2500,noise50_ref2,psf_area,psf_sym,psf_mean
SKA1W9-12A72B120,0,0,13800,-30,0.1-0.1arcsec,1,natural,0,10.00,25.84,0.19,65.60,0.80,0.39,0.48,,0.012,0.02,0.0620
SKA1W9-0A72B120,0,0,11300,-30,1.0-12.0arcsec,3,robust=-2.0:taper=0,1,11.50,31.03,0.26,55.28,1.03,0.37,0.36,,3.5,0.02,1.0507
SKA1REF2,0,0,11300,-30,0.1-0.1arcsec,1,robust=-2.0:taper=0,1,11.50,20.23,0.62,35.80,1.00,0.57,0.57,,0.013,0.03,0.0653
SKA1REF2,0,0,11300,-30,0.0-0.1arcsec,0,natural,0,11.50,12.69,1.42,23.72,1.00,0.91,0.91,,0.0058,0.01,0.0431
SKA1W9-0A72B120,0,0,13800,-30,0.1-0.1arcsec,1,robust=-2.0:taper=0,1,10.00,23.77,0.33,49.27,0.74,0.42,0.57,,0.01,0.00,0.0572
SKA1W9-12A72B120,0,0,8000,-30,0.0-0.1arcsec,0,robust=-2.0:taper=0,1,14.65,9.21,1.11,26.89,0.69,1.6,2.3,,0.01,0.01,0.0574
SKA1REF2,0,0,8000,-30,1.0-12.0arcsec,3,natural,0,14.65,51.09,0.17,68.87,1.00,0.29,0.29,,11,0.06,1.8616
SKA1W9-12A72B120,0,0,11300,-30,1.0-12.0arcsec,3,natural,0,11.50,31.82,0.21,62.18,1.13,0.36,0.32,,10,0.08,1.8083
SKA1REF2,0,0,13800,-30,0.0-0.1arcsec,0,natural,0,10.00,11.75,1.42,23.72,1.00,0.85,0.85,,0.0058,0.09,0.0432
SKA1REF2,0,0,11300,-30,1.0-12.0arcsec,3,natural,0,11.50,36.02,0.17,68.87,1.00,0.32,0.32,,11,0.01,1.9092
SKA1W9-0A72B120,0,0,13800,-30,0.1-1.0arcsec,2,natural,0,10.00,37.16,0.13,79.22,1.10,0.27,0.24,,0.31,0.04,0.3161
SKA1W9-12A72B120,0,0,13800,-30,1.0-12.0arcsec,3,robust=-2.0:taper=0,1,10.00,23.61,0.26,55.32,1.07,0.42,0.4,,3.4,0.01,1.0476
SKA1W9-0A72B120,0,0,13800,-30,1.0-12.0arcsec,3,natural,0,10.00,25.29,0.20,62.74,1.14,0.4,0.35,,11,0.06,1.8478
SKA1REF2,0,0,11300,-30,0.0-0.1arcsec,0,robust=-2.0:taper=0,1,11.50,9.44,3.32,15.53,1.00,1.2,1.2,,0.0067,0.01,0.0462
SKA1W9-0A72B120,0,0,8000,-30,0.1-1.0arcsec,2,robust=-2.0:taper=0,1,14.65,34.40,0.42,43.75,0.79,0.43,0.54,,0.038,0.01,0.1106
