lo0,lores,lofreq,freq,dec,resbin,ridx,weight,widx,noise166,flux10,snr10,hours,snravg,relnoise,noise50,noise50_ref2,psf_area,psf_sym,psf_mean,noise50k,speed
SKASUR,0,0,800,-50,3.0-4.0arcsec,3,robust=-2.0:taper=1.0,2,4.2,12.50,2.97,18.34,6.60,1.12,7.7,6.8,,34,0.02,3.2865,2.4e+02,0.98
SKASUR,0,0,1100,-30,1.0-2.0arcsec,1,natural,0,1.8,10.00,5.52,11.85,8.22,1.16,3.3,2.8,,5.6,0.19,1.3473,1e+02,1.5
SKA1W9-0A72B120,0,0,650,-30,1.0-2.0arcsec,1,robust=-2.0:taper=0,1,2.3,14.45,6.34,9.51,9.17,0.76,4.2,5.5,,4.3,0.00,1.1659,1.3e+02,0.15
SKASUR,0,0,800,-50,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,26,12.50,0.48,852.54,0.97,2.55,47,19,,2.9e+06,0.21,972.5748,1.5e+03,0.021
SKA1W9-12A72B120,0,0,1100,-10,10.0-60.0arcmin,4,natural,0,9.6,10.00,1.04,144.12,2.36,1.07,18,16,,1.9e+06,0.01,772.1641,5.5e+02,0.0097
SKA1W9-12A72B120,0,0,800,-30,2.0-3.0arcsec,2,natural,0,3.1,12.50,4.08,12.73,7.93,0.94,5.6,5.9,,17,0.07,2.3369,1.8e+02,0.11
SKA1W9-0A72B120,0,0,800,-50,1.0-2.0arcsec,1,robust=-2.0:taper=1.0,2,2.6,12.50,4.84,8.68,9.60,0.92,4.7,5.1,,4.9,0.00,1.2450,1.5e+02,0.16
SKA1REF2,0,0,800,-50,2.0-3.0arcsec,2,robust=-2.0:taper=0,1,3.5,12.50,3.58,15.47,7.19,1.00,6.4,6.4,,16,0.00,2.2373,2e+02,0.09
SKA1W9-0A72B120,0,0,1100,-30,3.0-4.0arcsec,3,natural,0,3.2,10.00,3.08,25.45,5.61,1.31,5.9,4.5,,36,0.01,3.3684,1.9e+02,0.055
SKA1W9-12A72B120,0,0,1100,-30,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,10,10.00,0.98,160.25,2.23,1.06,19,18,,1.8e+06,0.05,762.3782,5.9e+02,0.0087
SKASUR,0,0,800,-10,2.0-3.0arcsec,2,natural,0,3.8,12.50,3.31,18.13,6.64,1.17,6.9,5.9,,18,0.19,2.3863,2.2e+02,0.99
SKA1REF2,0,0,650,-50,3.0-4.0arcsec,3,robust=-2.0:taper=1.0,2,3.8,14.45,3.78,17.80,6.70,1.00,7,7,,34,0.00,3.2657,2.2e+02,0.079
SKA1W9-0A72B120,0,0,1100,-30,1.0-2.0arcsec,1,robust=-2.0:taper=0,1,2.1,10.00,4.73,9.51,9.17,1.05,3.8,3.7,,4.3,0.00,1.1683,1.2e+02,0.15
SKASUR,0,0,800,-10,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,26,12.50,0.48,856.74,0.97,2.68,47,18,,3.1e+06,0.29,1008.1219,1.5e+03,0.021
SKA1REF2,0,0,1100,-50,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,1.5,10.00,6.76,8.08,9.95,1.00,2.7,2.7,,2.8,0.01,0.9524,85,0.17
SKA1W9-0A72B120,0,0,1100,-10,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,1.5,10.00,6.66,7.38,10.41,0.77,2.7,3.5,,1.3,0.00,0.6555,87,0.19
SKA1W9-0A72B120,0,0,650,-10,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,2.4,14.45,6.12,7.38,10.41,0.72,4.3,6,,3.5,0.01,1.0603,1.4e+02,0.19
SKA1W9-0A72B120,0,0,800,-30,3.0-4.0arcsec,3,natural,0,4.2,12.50,2.97,25.45,5.61,1.09,7.7,7.1,,34,0.07,3.3034,2.4e+02,0.055
SKA1W9-12A72B120,0,0,650,-10,1.0-2.0arcsec,1,natural,0,1.7,14.45,8.50,5.12,12.50,0.71,3.1,4.4,,4.7,0.03,1.2239,98,0.27
SKA1W9-12A72B120,0,0,650,-50,1.0-2.0arcsec,1,robust=-2.0:taper=1.0,2,2,14.45,7.41,6.27,11.30,0.70,3.6,5.1,,5,0.00,1.2635,1.1e+02,0.22
SKASUR,0,0,650,-30,2.0-3.0arcsec,2,robust=-2.0:taper=0,1,4,14.45,3.58,21.74,6.07,1.08,7.4,6.8,,16,0.13,2.2701,2.3e+02,0.83
SKASUR,0,0,1100,-10,3.0-4.0arcsec,3,natural,0,2.4,10.00,4.22,23.33,5.86,0.95,4.3,4.5,,35,0.10,3.3502,1.4e+02,0.77
