lo0,lores,lofreq,freq,dec,resbin,ridx,weight,widx,noise166,flux10,snr10,hours,snravg,relnoise,noise50,noise50_ref2,psf_area,psf_sym,psf_mean,noise50k,speed,speed_avg
SKA1REF2,0,0,1000,-30,10.0-60.0arcmin,5,natural,0,12,10.00,0.84,409.18,1.40,1.00,22,22,,1.9e+06,0.04,770.0386,6.8e+02,0.49,3.5
SKA1W9-0A72B120,0,0,800,-50,1.0-2.0arcsec,2,natural,0,2,11.69,5.82,18.56,6.57,1.02,3.7,3.6,,5.1,0.01,1.2788,1.2e+02,36,72
SKA1W9-0A72B120,0,0,650,-30,0.4-1.0arcsec,0,natural,0,1.4,13.52,9.45,9.95,8.97,0.76,2.6,3.4,,1.9,0.16,0.7864,82,1.5e+02,1e+02
SKA1W9-0A72B120,0,0,1000,-10,0.4-2.0arcsec,1,natural,0,1,10.00,9.76,6.59,11.02,0.79,1.9,2.4,,1.5,0.05,0.6920,59,65,1.6e+02
SKASUR1,0,0,1000,-50,1.0-2.0arcsec,2,natural,0,4.8,10.00,2.07,317.24,1.59,2.38,8.8,3.7,,6.3,0.31,1.4411,2.8e+02,77,51
SKASUR,0,0,800,-30,3.0-4.0arcsec,4,natural,0,9.7,11.69,1.21,358.63,1.49,3.02,18,5.8,,36,0.08,3.4008,5.6e+02,26,43
SKASUR1,0,0,1000,-50,0.4-2.0arcsec,1,natural,0,4.2,10.00,2.38,226.45,1.88,3.28,7.6,2.3,,6.6,0.30,1.4723,2.4e+02,1e+02,69
SKA1REF2,0,0,650,-10,0.4-1.0arcsec,0,natural,0,1.9,13.52,7.05,18.39,6.59,1.00,3.5,3.5,,1.3,0.05,0.6531,1.1e+02,81,56
SKASUR1,0,0,650,-50,0.4-2.0arcsec,1,natural,0,8.8,13.52,1.53,226.45,1.88,6.64,16,2.4,,11,0.40,1.9745,5.1e+02,42,69
SKASUR1,0,0,800,-10,0.4-1.0arcsec,0,natural,0,51,11.69,0.23,3828.70,0.46,29.76,93,3.1,,2.8,0.48,0.9988,2.9e+03,0.95,5.8
SKA1W9-12A72B120,0,0,1000,-50,10.0-60.0arcmin,5,natural,0,12,10.00,0.81,470.05,1.30,1.03,23,22,,1.9e+06,0.01,784.2284,7.1e+02,0.45,3
SKASUR,0,0,650,-50,3.0-4.0arcsec,4,natural,0,9.4,13.52,1.44,322.08,1.58,2.93,17,5.8,,36,0.08,3.3683,5.4e+02,37,48
SKASUR,0,0,1000,-10,0.4-2.0arcsec,1,natural,0,3.3,10.00,3.07,120.82,2.57,2.51,5.9,2.4,,4.1,0.25,1.1515,1.9e+02,1.7e+02,1.2e+02
SKASUR,0,0,650,-30,1.0-2.0arcsec,2,natural,0,6.5,13.52,2.09,170.46,2.17,3.24,12,3.6,,6.5,0.29,1.4600,3.7e+02,78,86
SKA1W9-0A72B120,0,0,650,-50,1.0-2.0arcsec,2,natural,0,1.6,13.52,8.56,18.56,6.57,0.78,2.9,3.7,,4.6,0.01,1.2091,91,1.2e+02,72
SKASUR,0,0,800,-10,2.0-3.0arcsec,3,natural,0,7.6,11.69,1.54,271.52,1.72,2.82,14,4.9,,18,0.19,2.3863,4.4e+02,43,54
SKA1REF2,0,0,800,-50,0.4-1.0arcsec,0,natural,0,1.7,11.69,6.82,18.05,6.66,1.00,3.1,3.1,,1.1,0.10,0.5973,99,50,58
SKA1W9-12A72B120,0,0,1000,-10,2.0-3.0arcsec,3,natural,0,2.6,10.00,3.92,35.72,4.73,0.95,4.6,4.9,,17,0.06,2.3432,1.5e+02,11,32
