lo0,lores,lofreq,freq,dec,resbin,ridx,weight,widx,noise166,flux10,snr10,hours,snravg,relnoise,noise50,noise50_ref2,psf_area,psf_sym,psf_mean,noise50k
SKA1W9-0A72B120,0,0,650,-30,1.0-2.0arcsec,1,robust=-2.0:taper=0,1,1.5,14.45,9.66,4.99,12.67,0.73,2.7,3.7,,4.1,0.01,1.1468,86
SKA1W9-12A72B120,0,0,1100,-10,10.0-60.0arcmin,4,natural,0,10,10.00,0.99,71.91,3.34,1.06,18,17,,1.8e+06,0.01,763.2705,5.8e+02
SKA1W9-12A72B120,0,0,800,-30,2.0-3.0arcsec,2,natural,0,2.1,12.50,6.02,7.46,10.35,0.93,3.8,4.1,,17,0.07,2.3369,1.2e+02
SKA1REF2,0,0,800,-50,2.0-3.0arcsec,2,robust=-2.0:taper=0,1,2.4,12.50,5.24,9.66,9.10,1.00,4.3,4.3,,16,0.00,2.2372,1.4e+02
SKA1W9-0A72B120,0,0,1100,-30,3.0-4.0arcsec,3,natural,0,3.4,10.00,2.94,14.64,7.39,1.30,6.2,4.8,,36,0.01,3.3684,2e+02
SKA1W9-12A72B120,0,0,1100,-30,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,10,10.00,0.96,79.41,3.17,1.02,19,19,,1.8e+06,0.04,750.8215,6e+02
SKA1REF2,0,0,650,-50,3.0-4.0arcsec,3,robust=-2.0:taper=1.0,2,2.6,14.45,5.52,11.13,8.48,1.00,4.8,4.8,,34,0.00,3.2657,1.5e+02
SKA1W9-0A72B120,0,0,1100,-30,1.0-2.0arcsec,1,robust=-2.0:taper=0,1,2.2,10.00,4.48,4.99,12.67,1.04,4.1,3.9,,4.3,0.00,1.1683,1.3e+02
SKA1REF2,0,0,650,-30,2.0-3.0arcsec,2,robust=-2.0:taper=0,1,2.6,14.45,5.57,10.59,8.69,1.00,4.7,4.7,,16,0.02,2.2402,1.5e+02
SKA1REF2,0,0,1100,-50,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,1.5,10.00,6.52,4.10,13.97,1.00,2.8,2.8,,2.7,0.02,0.9221,88
SKA1W9-0A72B120,0,0,1100,-10,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,1.5,10.00,6.60,4.25,13.71,0.85,2.8,3.2,,0.92,0.05,0.5427,87
SKA1W9-0A72B120,0,0,650,-10,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,1.6,14.45,9.02,4.25,13.71,0.90,2.9,3.2,,1.9,0.07,0.7877,92
